ID,LTV,CLTV,Orig_Bal,Orig_Date,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
925,80,100,542400,29-06-2006,480,7.35,CA,681,Owner Occupied,ARM
4167,95,95,541500,15-09-2006,360,9.5,CA,742,Investor Owned,ARM
477,90,90,540000,17-08-2006,480,7.25,MD,620,Owner Occupied,ARM
541,80,80,540000,18-08-2006,360,8.3,CA,548,Owner Occupied,ARM
812,80,100,540000,31-08-2006,360,7.15,CA,653,Owner Occupied,ARM
859,83.08,83.08,540000,21-08-2006,360,7.65,MA,656,Owner Occupied,ARM
1811,90,90,540000,24-08-2006,360,7.5,CA,683,Owner Occupied,ARM
2855,83.08,83.08,540000,22-08-2006,360,7.6,CA,659,Owner Occupied,Fix
2944,80,100,540000,15-08-2006,360,6.9,AZ,654,Owner Occupied,ARM
3458,80,80,540000,07-09-2006,480,10.25,CA,502,Owner Occupied,ARM
4009,90,90,540000,01-09-2006,360,8.825,AZ,616,Owner Occupied,ARM
3825,80,100,536000,29-08-2006,360,6.99,CA,713,Owner Occupied,ARM
1991,85,85,535500,17-08-2006,480,8.4,CA,572,Owner Occupied,ARM
2213,85,85,535500,28-06-2006,360,9.1,CT,519,Owner Occupied,ARM
1570,80,100,535200,29-08-2006,360,7.7,NY,685,Owner Occupied,ARM
2839,80,100,535200,14-09-2006,480,7.75,CA,655,Owner Occupied,ARM
3255,79.97,99.91,535000,16-08-2006,360,7.05,CA,605,Owner Occupied,ARM
2542,90,90,533700,16-08-2006,360,8.05,CA,689,Owner Occupied,Fix
2265,80,100,533600,30-08-2006,480,8.45,CA,642,Owner Occupied,ARM
4364,80,100,532000,05-09-2006,360,9,CA,623,Owner Occupied,ARM
3226,90,90,531000,22-08-2006,360,6.99,CA,620,Owner Occupied,ARM
10,85.48,85.48,530000,29-04-2006,360,6.2,CA,704,Owner Occupied,Fix
1299,77.37,77.37,530000,30-08-2006,480,8.65,CA,508,Owner Occupied,ARM
168,80,100,528000,30-08-2006,360,8.25,CA,651,Owner Occupied,ARM
2065,80,100,528000,17-08-2006,480,7.2,CA,600,Owner Occupied,ARM
2789,95,95,527250,24-08-2006,360,8.25,NJ,626,Owner Occupied,ARM
4040,85,85,527000,11-09-2006,360,7.99,CA,576,Owner Occupied,ARM
576,70,70,525000,15-08-2006,360,6.95,CA,699,Owner Occupied,Fix
638,82.16,99.22,525000,08-09-2006,480,7.75,CA,530,Owner Occupied,ARM
4321,84,84,525000,25-08-2006,480,7.4,NY,601,Owner Occupied,Fix
4349,70,70,525000,01-09-2006,480,8.25,CA,558,Owner Occupied,ARM
709,80,100,524800,14-08-2006,360,7.4,CA,654,Owner Occupied,ARM
3395,80,80,524000,31-08-2006,480,8.875,CA,608,Owner Occupied,ARM
515,90,90,522000,22-08-2006,360,10.55,CA,611,Investor Owned,ARM
1017,90,90,522000,18-05-2006,360,8.05,FL,709,Investor Owned,ARM
